year,debt_value_usd,value_billions_usd
2010,3838121575262.1,3838.1215752621
2011,4457861965914.2,4457.8619659142005
2012,4967994174663.1,4967.994174663099
2013,5688568561828.2,5688.5685618282005
2014,6254702782294.5,6254.7027822945
2015,5875334776246.8,5875.3347762468
2016,6095082051686.5,6095.0820516865
2017,6855716109507.2,6855.716109507201
2018,7345157716953.399,7345.157716953399
2019,7727747570620.6,7727.7475706206
2020,8148788293324.0,8148.788293324
2021,8796116638549.1,8796.1166385491
2022,8682571533789.5,8682.5715337895
